start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-26 17:15:06.904, 2021-07-26 17:15:20.206, 13, Modified Borda Count, Vote 12, 14877
2021-07-26 17:15:24.913, 2021-07-26 17:15:53.457, 28, Majority Voting, Vote 13, 14877
2021-07-26 17:15:58.067, 2021-07-26 17:16:20.856, 22, Combined Approval, Vote 14, 14877
2021-07-26 17:16:25.380, 2021-07-26 17:16:39.289, 13, Score Voting, Vote 15, 14877
2021-07-26 17:16:43.897, 2021-07-26 17:16:50.173, 6, Modified Borda Count, Vote 16, 14877
2021-07-26 17:10:58.763, 2021-07-26 17:11:36.861, 38, Majority Voting, Vote 01, 14969
2021-07-26 17:11:42.175, 2021-07-26 17:12:10.935, 28, Combined Approval, Vote 02, 14969
2021-07-26 17:12:16.084, 2021-07-26 17:12:53.441, 37, Score Voting, Vote 03, 14969
2021-07-26 17:12:59.016, 2021-07-26 17:14:16.265, 77, Modified Borda Count, Vote 04, 14969
2021-07-26 17:14:21.627, 2021-07-26 17:14:37.801, 16, Majority Voting, Vote 05, 14969
2021-07-26 17:14:42.705, 2021-07-26 17:15:06.032, 23, Combined Approval, Vote 06, 14969
2021-07-26 17:15:11.694, 2021-07-26 17:15:45.836, 34, Score Voting, Vote 07, 14969
2021-07-26 17:15:51.314, 2021-07-26 17:16:12.585, 21, Modified Borda Count, Vote 08, 14969
2021-07-26 17:16:17.338, 2021-07-26 17:16:34.120, 16, Majority Voting, Vote 09, 14969
2021-07-26 17:16:39.248, 2021-07-26 17:16:45.697, 6, Combined Approval, Vote 10, 14969
2021-07-26 17:16:51.151, 2021-07-26 17:17:19.176, 28, Score Voting, Vote 11, 14969
2021-07-26 17:17:24.199, 2021-07-26 17:18:32.461, 68, Modified Borda Count, Vote 12, 14969
2021-07-26 17:18:37.618, 2021-07-26 17:19:02.075, 24, Majority Voting, Vote 13, 14969
2021-07-26 17:19:06.963, 2021-07-26 17:19:27.476, 20, Combined Approval, Vote 14, 14969
2021-07-26 17:19:32.498, 2021-07-26 17:19:48.861, 16, Score Voting, Vote 15, 14969
2021-07-26 17:19:53.899, 2021-07-26 17:20:33.685, 39, Modified Borda Count, Vote 16, 14969
2021-07-26 17:06:19.895, 2021-07-26 17:06:33.041, 13, Majority Voting, Vote 01, 15457
2021-07-26 17:06:38.981, 2021-07-26 17:06:54.714, 15, Combined Approval, Vote 02, 15457
2021-07-26 17:06:59.937, 2021-07-26 17:07:16.649, 16, Score Voting, Vote 03, 15457
2021-07-26 17:07:22.267, 2021-07-26 17:08:01.462, 39, Modified Borda Count, Vote 04, 15457
2021-07-26 17:08:06.583, 2021-07-26 17:08:15.887, 9, Majority Voting, Vote 05, 15457
2021-07-26 17:08:20.864, 2021-07-26 17:08:35.396, 14, Combined Approval, Vote 06, 15457
2021-07-26 17:08:40.352, 2021-07-26 17:08:54.295, 13, Score Voting, Vote 07, 15457
2021-07-26 17:08:59.335, 2021-07-26 17:09:19.725, 20, Modified Borda Count, Vote 08, 15457
2021-07-26 17:09:24.663, 2021-07-26 17:09:30.468, 5, Majority Voting, Vote 09, 15457
2021-07-26 17:09:36.005, 2021-07-26 17:09:52.824, 16, Combined Approval, Vote 10, 15457
2021-07-26 17:09:57.783, 2021-07-26 17:10:08.045, 10, Score Voting, Vote 11, 15457
2021-07-26 17:10:12.891, 2021-07-26 17:10:19.171, 6, Modified Borda Count, Vote 12, 15457
2021-07-26 17:10:24.141, 2021-07-26 17:10:29.432, 5, Majority Voting, Vote 13, 15457
2021-07-26 17:10:34.980, 2021-07-26 17:10:41.178, 6, Combined Approval, Vote 14, 15457
2021-07-26 17:10:45.927, 2021-07-26 17:10:57.520, 11, Score Voting, Vote 15, 15457
