time, state, vote_mechanism, vote_name, short_id
2021-07-23 17:19:44.873, ["4"], Majority Voting, Vote 01, 11172
2021-07-23 17:19:46.408, ["1"], Majority Voting, Vote 01, 11172
2021-07-23 17:19:47.146, ["4"], Majority Voting, Vote 01, 11172
2021-07-23 17:19:51.957, ["4"], Majority Voting, Vote 01, 11172
2021-07-23 17:20:42.241, ["0"; "0"; "-1"; "0"; "0"], Combined Approval, Vote 02, 11172
2021-07-23 17:20:49.704, ["-1"; "0"; "-1"; "0"; "0"], Combined Approval, Vote 02, 11172
2021-07-23 17:20:53.409, ["-1"; "0"; "-1"; "0"; "1"], Combined Approval, Vote 02, 11172
2021-07-23 17:21:33.034, ["0"; "0"; "0"; "0"; "1"], Score Voting, Vote 03, 11172
2021-07-23 17:21:33.526, ["0"; "0"; "0"; "0"; "2"], Score Voting, Vote 03, 11172
2021-07-23 17:21:33.718, ["0"; "0"; "0"; "0"; "3"], Score Voting, Vote 03, 11172
2021-07-23 17:21:33.887, ["0"; "0"; "0"; "0"; "4"], Score Voting, Vote 03, 11172
2021-07-23 17:21:34.053, ["0"; "0"; "0"; "0"; "5"], Score Voting, Vote 03, 11172
2021-07-23 17:21:36.442, ["0"; "0"; "0"; "1"; "5"], Score Voting, Vote 03, 11172
2021-07-23 17:21:41.096, ["0"; "0"; "0"; "2"; "5"], Score Voting, Vote 03, 11172
2021-07-23 17:21:47.470, ["0"; "1"; "0"; "2"; "5"], Score Voting, Vote 03, 11172
2021-07-23 17:22:24.589, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:22:25.162, ["0"; "0"; "0"; "0"; "0"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:22:28.164, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:22:36.174, ["0"; "0"; "1"; "0"; "2"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:22:37.451, ["0"; "0"; "1"; "0"; "0"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:22:49.836, ["0"; "0"; "0"; "0"; "0"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:22:51.671, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 11172
2021-07-23 17:23:27.223, ["2"], Majority Voting, Vote 05, 11172
2021-07-23 17:23:55.629, ["0"; "0"; "0"; "-1"; "0"], Combined Approval, Vote 06, 11172
2021-07-23 17:23:59.431, ["0"; "0"; "1"; "-1"; "0"], Combined Approval, Vote 06, 11172
2021-07-23 17:24:18.486, ["1"; "0"; "1"; "-1"; "0"], Combined Approval, Vote 06, 11172
2021-07-23 17:24:20.982, ["0"; "0"; "1"; "-1"; "0"], Combined Approval, Vote 06, 11172
