start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-01-19 21:32:20.362, 2021-01-19 21:32:32.947, 12, Modified Borda Count, Vote 12, 14467
2021-01-19 21:32:37.760, 2021-01-19 21:32:44.536, 6, Majority Voting, Vote 13, 14467
2021-01-19 21:32:49.337, 2021-01-19 21:32:52.341, 3, Combined Approval, Vote 14, 14467
2021-01-19 21:32:56.927, 2021-01-19 21:33:06.879, 9, Score Voting, Vote 15, 14467
2021-01-19 21:33:11.451, 2021-01-19 21:33:20.269, 8, Modified Borda Count, Vote 16, 14467
2021-07-23 17:12:19.815, 2021-07-23 17:15:37.286, 197, Majority Voting, Vote 01, 16944
2021-07-23 17:15:42.548, 2021-07-23 17:16:17.081, 34, Combined Approval, Vote 02, 16944
2021-07-23 17:16:22.199, 2021-07-23 17:16:55.632, 33, Score Voting, Vote 03, 16944
2021-07-23 17:17:01.475, 2021-07-23 17:18:13.120, 71, Modified Borda Count, Vote 04, 16944
2021-07-23 17:18:18.368, 2021-07-23 17:18:25.310, 6, Majority Voting, Vote 05, 16944
2021-07-23 17:18:30.445, 2021-07-23 17:18:47.759, 17, Combined Approval, Vote 06, 16944
2021-07-23 17:18:53.649, 2021-07-23 17:19:03.609, 9, Score Voting, Vote 07, 16944
2021-07-23 17:19:08.668, 2021-07-23 17:19:29.130, 20, Modified Borda Count, Vote 08, 16944
2021-07-23 17:19:34.644, 2021-07-23 17:19:46.374, 11, Majority Voting, Vote 09, 16944
2021-07-23 17:19:51.453, 2021-07-23 17:20:03.468, 12, Combined Approval, Vote 10, 16944
2021-07-23 17:20:08.632, 2021-07-23 17:20:44.443, 35, Score Voting, Vote 11, 16944
2021-07-23 17:20:49.464, 2021-07-23 17:21:11.190, 21, Modified Borda Count, Vote 12, 16944
2021-07-23 17:21:16.481, 2021-07-23 17:21:34.923, 18, Majority Voting, Vote 13, 16944
2021-07-23 17:21:39.903, 2021-07-23 17:21:58.287, 18, Combined Approval, Vote 14, 16944
2021-07-23 17:22:03.095, 2021-07-23 17:22:49.145, 46, Score Voting, Vote 15, 16944
2021-07-23 17:22:54.036, 2021-07-23 17:23:31.055, 37, Modified Borda Count, Vote 16, 16944
2021-07-23 17:09:05.193, 2021-07-23 17:09:55.043, 49, Majority Voting, Vote 01, 23757
