start_time, end_time, duration, vote_mechanism, vote_name, short_id
2021-07-23 17:16:58.753, 2021-07-23 17:20:20.634, 201, Majority Voting, Vote 01, 11172
2021-07-23 17:20:26.476, 2021-07-23 17:21:11.041, 44, Combined Approval, Vote 02, 11172
2021-07-23 17:21:16.351, 2021-07-23 17:21:53.094, 36, Score Voting, Vote 03, 11172
2021-07-23 17:21:58.849, 2021-07-23 17:22:55.884, 57, Modified Borda Count, Vote 04, 11172
2021-07-23 17:23:01.064, 2021-07-23 17:23:39.064, 38, Majority Voting, Vote 05, 11172
2021-07-23 17:23:44.217, 2021-07-23 17:24:37.070, 52, Combined Approval, Vote 06, 11172
2021-07-23 17:24:42.167, 2021-07-23 17:25:09.101, 26, Score Voting, Vote 07, 11172
2021-07-23 17:25:14.259, 2021-07-23 17:25:48.505, 34, Modified Borda Count, Vote 08, 11172
2021-07-23 17:25:53.580, 2021-07-23 17:26:22.871, 29, Majority Voting, Vote 09, 11172
2021-07-23 17:26:28.205, 2021-07-23 17:26:52.162, 23, Combined Approval, Vote 10, 11172
2021-07-23 17:26:57.279, 2021-07-23 17:27:21.047, 23, Score Voting, Vote 11, 11172
2021-07-23 17:27:26.260, 2021-07-23 17:27:45.948, 19, Modified Borda Count, Vote 12, 11172
2021-07-23 17:27:51.033, 2021-07-23 17:28:45.043, 54, Majority Voting, Vote 13, 11172
2021-07-23 17:28:50.219, 2021-07-23 17:29:49.453, 59, Combined Approval, Vote 14, 11172
2021-07-23 17:29:54.434, 2021-07-23 17:30:13.690, 19, Score Voting, Vote 15, 11172
2021-07-23 17:30:18.801, 2021-07-23 17:30:40.446, 21, Modified Borda Count, Vote 16, 11172
2021-07-28 17:44:15.882, 2021-07-28 17:44:31.448, 15, Majority Voting, Vote 01, 11899
2021-07-28 17:45:06.851, 2021-07-28 17:45:25.461, 18, Combined Approval, Vote 02, 11899
2021-07-28 17:44:36.440, 2021-07-28 17:45:01.589, 25, Score Voting, Vote 03, 11899
2021-07-28 17:45:31.727, 2021-07-28 17:46:09.181, 37, Modified Borda Count, Vote 04, 11899
2021-07-28 17:46:15.030, 2021-07-28 17:46:28.957, 13, Majority Voting, Vote 05, 11899
2021-07-28 17:46:34.690, 2021-07-28 17:46:50.817, 16, Combined Approval, Vote 06, 11899
2021-07-28 17:46:56.173, 2021-07-28 17:47:09.286, 13, Score Voting, Vote 07, 11899
2021-07-28 17:47:15.060, 2021-07-28 17:47:30.134, 15, Modified Borda Count, Vote 08, 11899
2021-07-28 17:47:35.329, 2021-07-28 17:47:44.504, 9, Majority Voting, Vote 09, 11899
2021-07-28 17:47:49.684, 2021-07-28 17:47:58.392, 8, Combined Approval, Vote 10, 11899
2021-07-28 17:48:03.476, 2021-07-28 17:48:26.940, 23, Score Voting, Vote 11, 11899
2021-07-28 17:48:31.988, 2021-07-28 17:48:50.414, 18, Modified Borda Count, Vote 12, 11899
2021-07-28 17:48:55.558, 2021-07-28 17:49:20.722, 25, Majority Voting, Vote 13, 11899
2021-07-28 17:49:25.835, 2021-07-28 17:49:37.990, 12, Combined Approval, Vote 14, 11899
2021-07-28 17:49:43.059, 2021-07-28 17:50:04.824, 21, Score Voting, Vote 15, 11899
2021-07-28 17:50:09.872, 2021-07-28 17:50:29.295, 19, Modified Borda Count, Vote 16, 11899
2021-07-29 17:37:17.672, 2021-07-29 17:37:59.535, 41, Majority Voting, Vote 01, 12452
2021-07-29 17:38:05.226, 2021-07-29 17:38:56.815, 51, Combined Approval, Vote 02, 12452
2021-07-29 17:39:51.487, 2021-07-29 17:40:19.543, 28, Score Voting, Vote 03, 12452
2021-07-29 17:40:24.295, 2021-07-29 17:41:00.616, 36, Modified Borda Count, Vote 04, 12452
2021-07-29 17:41:05.521, 2021-07-29 17:41:33.178, 27, Majority Voting, Vote 05, 12452
2021-07-29 17:41:37.995, 2021-07-29 17:52:00.437, 622, Combined Approval, Vote 06, 12452
2021-07-29 17:52:06.145, 2021-07-29 17:52:24.032, 17, Score Voting, Vote 07, 12452
2021-07-29 17:52:46.290, 2021-07-29 17:53:34.169, 47, Modified Borda Count, Vote 08, 12452
2021-07-29 17:53:40.524, 2021-07-29 17:54:10.301, 29, Majority Voting, Vote 09, 12452
2021-07-29 17:54:15.619, 2021-07-29 17:55:09.267, 53, Combined Approval, Vote 10, 12452
2021-07-29 17:55:14.269, 2021-07-29 17:55:31.963, 17, Score Voting, Vote 11, 12452
2021-07-29 18:03:12.181, 2021-07-29 18:03:38.144, 25, Modified Borda Count, Vote 12, 12452
2021-07-29 18:03:43.086, 2021-07-29 18:03:50.349, 7, Majority Voting, Vote 13, 12452
2021-07-29 18:03:55.270, 2021-07-29 18:05:56.968, 121, Combined Approval, Vote 14, 12452
2021-07-29 18:06:01.944, 2021-07-29 18:06:40.703, 38, Score Voting, Vote 15, 12452
2021-07-29 18:06:45.534, 2021-07-29 18:07:08.288, 22, Modified Borda Count, Vote 16, 12452
2021-07-21 23:17:24.894, 2021-07-21 23:17:27.344, 2, Score Voting, Vote 15, 12518
2021-07-21 23:22:53.931, 2021-07-21 23:22:58.207, 4, Modified Borda Count, Vote 16, 12518
2021-07-28 17:07:45.081, 2021-07-28 17:08:16.149, 31, Majority Voting, Vote 01, 13178
2021-07-28 17:08:22.161, 2021-07-28 17:09:35.100, 72, Combined Approval, Vote 02, 13178
2021-07-28 17:09:40.687, 2021-07-28 17:10:34.535, 53, Score Voting, Vote 03, 13178
2021-07-28 17:10:40.244, 2021-07-28 17:11:25.688, 45, Modified Borda Count, Vote 04, 13178
2021-07-28 17:11:32.046, 2021-07-28 17:12:00.083, 28, Majority Voting, Vote 05, 13178
2021-07-28 17:12:05.680, 2021-07-28 17:12:33.244, 27, Combined Approval, Vote 06, 13178
2021-07-28 17:12:38.966, 2021-07-28 17:13:07.573, 28, Score Voting, Vote 07, 13178
2021-07-28 17:13:15.403, 2021-07-28 17:13:37.649, 22, Modified Borda Count, Vote 08, 13178
2021-07-28 17:13:42.881, 2021-07-28 17:14:02.319, 19, Majority Voting, Vote 09, 13178
2021-07-28 17:14:09.212, 2021-07-28 17:14:23.159, 13, Combined Approval, Vote 10, 13178
2021-07-28 17:14:28.677, 2021-07-28 17:14:50.477, 21, Score Voting, Vote 11, 13178
2021-07-28 17:14:55.794, 2021-07-28 17:15:26.218, 30, Modified Borda Count, Vote 12, 13178
2021-07-28 17:15:31.362, 2021-07-28 17:16:41.443, 70, Majority Voting, Vote 13, 13178
2021-07-28 17:16:46.302, 2021-07-28 17:17:29.584, 43, Combined Approval, Vote 14, 13178
2021-07-28 17:17:34.796, 2021-07-28 17:19:43.090, 128, Score Voting, Vote 15, 13178
2021-07-28 17:20:25.391, 2021-07-28 17:20:48.318, 22, Modified Borda Count, Vote 16, 13178
2021-07-29 17:31:32.579, 2021-07-29 17:31:52.843, 20, Majority Voting, Vote 01, 13586
2021-07-29 17:31:58.415, 2021-07-29 17:32:15.677, 17, Combined Approval, Vote 02, 13586
