time, state, vote_mechanism, vote_name, short_id
2021-07-29 17:45:37.056, ["1"; "-1"; "1"; "1"; "1"], Combined Approval, Vote 14, 61785
2021-07-29 17:45:47.556, ["0"; "0"; "1"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:47.713, ["0"; "0"; "2"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:48.543, ["0"; "0"; "3"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:48.964, ["1"; "0"; "3"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:49.134, ["2"; "0"; "3"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:49.300, ["3"; "0"; "3"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:49.481, ["4"; "0"; "3"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:50.817, ["4"; "1"; "3"; "0"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:52.116, ["4"; "1"; "3"; "1"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:52.263, ["4"; "1"; "3"; "2"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:52.443, ["4"; "1"; "3"; "3"; "0"], Score Voting, Vote 15, 61785
2021-07-29 17:45:53.565, ["4"; "1"; "3"; "3"; "1"], Score Voting, Vote 15, 61785
2021-07-29 17:45:53.773, ["4"; "1"; "3"; "3"; "2"], Score Voting, Vote 15, 61785
2021-07-29 17:45:53.929, ["4"; "1"; "3"; "3"; "3"], Score Voting, Vote 15, 61785
2021-07-29 17:46:14.029, ["0"; "1"; "0"; "0"; "0"], Modified Borda Count, Vote 16, 61785
2021-07-29 17:46:14.896, ["1"; "2"; "0"; "0"; "0"], Modified Borda Count, Vote 16, 61785
2021-07-29 17:46:15.645, ["2"; "3"; "0"; "1"; "0"], Modified Borda Count, Vote 16, 61785
2021-07-29 17:46:16.166, ["3"; "4"; "0"; "2"; "1"], Modified Borda Count, Vote 16, 61785
2021-07-29 17:46:16.667, ["4"; "5"; "1"; "3"; "2"], Modified Borda Count, Vote 16, 61785
2021-07-29 17:46:22.038, ["4"; "2"; "1"; "3"; "5"], Modified Borda Count, Vote 16, 61785
2021-07-29 17:46:22.066, ["4"; "1"; "2"; "3"; "5"], Modified Borda Count, Vote 16, 61785
2021-07-28 17:14:23.610, ["1"], Majority Voting, Vote 01, 62174
2021-07-28 17:14:40.828, ["0"; "0"; "0"; "0"; "1"], Combined Approval, Vote 02, 62174
2021-07-28 17:14:42.691, ["0"; "0"; "0"; "0"; "0"], Combined Approval, Vote 02, 62174
2021-07-28 17:14:46.425, ["0"; "0"; "0"; "0"; "1"], Combined Approval, Vote 02, 62174
2021-07-28 17:14:57.449, ["0"; "1"; "0"; "0"; "1"], Combined Approval, Vote 02, 62174
2021-07-28 17:15:05.187, ["0"; "1"; "-1"; "0"; "1"], Combined Approval, Vote 02, 62174
2021-07-28 17:15:22.242, ["0"; "1"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:22.386, ["0"; "2"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:22.513, ["0"; "3"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:22.650, ["0"; "4"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:22.779, ["0"; "5"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:24.630, ["1"; "5"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:24.766, ["2"; "5"; "0"; "0"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:30.554, ["2"; "5"; "0"; "1"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:30.705, ["2"; "5"; "0"; "2"; "0"], Score Voting, Vote 03, 62174
2021-07-28 17:15:33.581, ["2"; "5"; "0"; "2"; "1"], Score Voting, Vote 03, 62174
2021-07-28 17:15:33.733, ["2"; "5"; "0"; "2"; "2"], Score Voting, Vote 03, 62174
2021-07-28 17:15:33.877, ["2"; "5"; "0"; "2"; "3"], Score Voting, Vote 03, 62174
2021-07-28 17:15:34.320, ["2"; "5"; "0"; "2"; "4"], Score Voting, Vote 03, 62174
2021-07-28 17:16:03.470, ["0"; "0"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 62174
2021-07-28 17:16:06.735, ["0"; "1"; "0"; "0"; "2"], Modified Borda Count, Vote 04, 62174
2021-07-28 17:16:14.904, ["0"; "2"; "0"; "0"; "1"], Modified Borda Count, Vote 04, 62174
2021-07-28 17:17:01.028, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:01.553, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:02.152, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:03.066, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:04.015, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:04.916, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:05.600, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:06.474, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:07.212, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:07.679, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:07.999, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:08.318, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:08.635, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:09.045, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:09.414, ["1"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:13.165, ["0"], Majority Voting, Vote 05, 62174
2021-07-28 17:17:23.629, ["0"; "1"; "0"; "0"; "0"], Combined Approval, Vote 06, 62174
2021-07-28 17:17:24.865, ["1"; "1"; "0"; "0"; "0"], Combined Approval, Vote 06, 62174
2021-07-28 17:17:56.800, ["1"; "0"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
2021-07-28 17:17:56.953, ["2"; "0"; "0"; "0"; "0"], Score Voting, Vote 07, 62174
